Authors Name
Albert Einstein
Alexandre Dumas fils
Alfred Tennyson
Allen Saunders
André Gide
Ayn Rand
Bob Marley
C.S. Lewis
Charles Bukowski
Charles M. Schulz
Douglas Adams
Dr. Seuss
E.E. Cummings
Eleanor Roosevelt
Elie Wiesel
Ernest Hemingway
Friedrich Nietzsche
Garrison Keillor
George Bernard Shaw
George Carlin
George Eliot
George R.R. Martin
Harper Lee
Haruki Murakami
Helen Keller
J.D. Salinger
J.K. Rowling
J.M. Barrie
J.R.R. Tolkien
James Baldwin
Jane Austen
Jim Henson
Jimi Hendrix
John Lennon
Jorge Luis Borges
Khaled Hosseini
Madeleine L'Engle
Marilyn Monroe
Mark Twain
Martin Luther King Jr.
Mother Teresa
Pablo Neruda
Ralph Waldo Emerson
Stephenie Meyer
Steve Martin
Suzanne Collins
Terry Pratchett
Thomas A. Edison
W.C. Fields
William Nicholson
